Cycle;FreqIndex;Omega;Iterations;Error;Time;FromFunction
0;1;10.78004;20;9.42591650527902e-5;2.745393913;SensTMatVec
0;1;10.78004;24;6.930183008080348e-5;3.53443346;SensMatVec
0;1;10.78004;22;6.203473458299413e-5;3.453434614;SensTMatVec
0;1;10.78004;33;8.7660782810417e-7;5.110585145;getData
0;1;10.78004;22;9.118216257775202e-5;3.141756031;SensTMatVec
0;1;10.78004;26;7.647760503459722e-5;3.672197121;SensMatVec
0;1;10.78004;23;9.028470958583057e-5;3.254518103;SensTMatVec
0;1;10.78004;26;6.900316657265648e-5;3.784027891;SensMatVec
0;1;10.78004;23;9.100705938180909e-5;3.601978351;SensTMatVec
0;1;10.78004;26;6.930457311682403e-5;3.946346846;SensMatVec
0;1;10.78004;23;8.738986070966348e-5;3.16292189;SensTMatVec
0;1;10.78004;26;6.618592306040227e-5;3.801628571;SensMatVec
0;1;10.78004;23;7.786279456922784e-5;3.128888521;SensTMatVec
0;1;10.78004;25;9.168111864710227e-5;3.446025023;SensMatVec
0;1;10.78004;23;7.930101128295064e-5;3.177182469;SensTMatVec
0;1;10.78004;26;7.6100135629531e-5;4.175335741;SensMatVec
0;1;10.78004;23;8.486139995511621e-5;3.219207035;SensTMatVec
0;1;10.78004;25;7.853279385017231e-5;3.4599294;SensMatVec
0;1;10.78004;23;8.476038055960089e-5;3.205690812;SensTMatVec
0;1;10.78004;32;8.853584745338594e-7;4.478815744;getData
0;1;10.78004;22;8.20629793452099e-5;3.310654494;SensTMatVec
0;1;10.78004;26;6.44492101855576e-5;3.840233573;SensMatVec
0;1;10.78004;23;7.034822192508727e-5;3.316615696;SensTMatVec
0;1;10.78004;25;7.339480362134054e-5;3.553272401;SensMatVec
0;1;10.78004;23;7.204307621577755e-5;3.51136794;SensTMatVec
0;1;10.78004;25;9.471728117205203e-5;3.651649742;SensMatVec
0;1;10.78004;23;8.235339191742241e-5;3.520393625;SensTMatVec
0;1;10.78004;25;8.388613059651107e-5;3.40419546;SensMatVec
0;1;10.78004;22;9.644611418480054e-5;3.231555273;SensTMatVec
0;1;10.78004;25;9.070501255337149e-5;3.401451226;SensMatVec
0;1;10.78004;23;7.527491834480315e-5;3.333858286;SensTMatVec
0;1;10.78004;25;9.990357648348436e-5;3.631686545;SensMatVec
0;1;10.78004;22;9.85148290055804e-5;3.298419248;SensTMatVec
0;1;10.78004;25;8.102206629700959e-5;3.599711454;SensMatVec
0;1;10.78004;22;9.707819117465988e-5;3.558281605;SensTMatVec
0;1;10.78004;34;8.276375638160971e-7;4.57006442;getData
0;1;10.78004;23;9.612170833861455e-5;3.612313477;SensTMatVec
0;1;10.78004;27;7.923998055048287e-5;3.751403938;SensMatVec
0;1;10.78004;24;8.908708696253598e-5;3.777341567;SensTMatVec
0;1;10.78004;26;9.699134534457698e-5;3.703285979;SensMatVec
0;1;10.78004;24;7.774480036459863e-5;3.408476554;SensTMatVec
0;1;10.78004;27;6.730241875629872e-5;3.90340691;SensMatVec
0;1;10.78004;24;8.321076893480495e-5;3.286302004;SensTMatVec
0;1;10.78004;26;9.276065975427628e-5;3.516449927;SensMatVec
0;1;10.78004;24;8.169913780875504e-5;3.361029489;SensTMatVec
0;1;10.78004;27;7.164272392401472e-5;3.840009884;SensMatVec
0;1;10.78004;24;8.082413842203096e-5;3.343590453;SensTMatVec
0;1;10.78004;27;6.779949035262689e-5;3.698649044;SensMatVec
0;1;10.78004;24;9.129010140895844e-5;3.708597816;SensTMatVec
0;1;10.78004;26;8.276962034869939e-5;3.844002666;SensMatVec
0;1;10.78004;24;7.022968929959461e-5;3.784546062;SensTMatVec
0;1;10.78004;33;8.540591238670459e-7;4.596735916;getData
0;1;10.78004;23;7.772558456053957e-5;3.449633196;SensTMatVec
0;1;10.78004;26;9.534507989883423e-5;3.698479335;SensMatVec
0;1;10.78004;24;6.42259037704207e-5;3.582842752;SensTMatVec
0;1;10.78004;26;6.705461419187486e-5;3.927722414;SensMatVec
0;1;10.78004;23;9.494450205238536e-5;3.605780914;SensTMatVec
0;1;10.78004;26;7.158821244956926e-5;3.572585575;SensMatVec
0;1;10.78004;23;9.372454223921522e-5;3.06742415;SensTMatVec
0;1;10.78004;26;7.871224079281092e-5;3.69964232;SensMatVec
0;1;10.78004;23;9.884717292152345e-5;3.424029569;SensTMatVec
0;1;10.78004;26;8.125654130708426e-5;3.672444792;SensMatVec
0;1;10.78004;24;6.787211896153167e-5;3.525153838;SensTMatVec
0;1;10.78004;26;7.950247527332976e-5;3.862615784;SensMatVec
0;1;10.78004;23;8.77003840287216e-5;3.185680755;SensTMatVec
0;1;10.78004;26;6.95212947903201e-5;3.754390752;SensMatVec
0;1;10.78004;23;8.968002657638863e-5;3.314445704;SensTMatVec
0;1;10.78004;35;7.108963586688333e-7;5.144213375;getData
0;1;10.78004;24;7.684808952035382e-5;3.402029927;SensTMatVec
0;1;10.78004;28;7.107259443728253e-5;3.883889366;SensMatVec
0;1;10.78004;25;7.739719876553863e-5;3.533286669;SensTMatVec
0;1;10.78004;27;8.093853830359876e-5;4.053352874;SensMatVec
0;1;10.78004;24;9.298776421928778e-5;3.383165644;SensTMatVec
0;1;10.78004;27;8.825373515719548e-5;4.909497269;SensMatVec
0;1;10.78004;24;9.757193765835837e-5;3.89896171;SensTMatVec
0;1;10.78004;27;7.588665175717324e-5;3.834363473;SensMatVec
0;1;10.78004;24;9.843014413490891e-5;3.305747924;SensTMatVec
0;1;10.78004;27;9.562165359966457e-5;4.026690768;SensMatVec
0;1;10.78004;25;7.222282147267833e-5;3.673703245;SensTMatVec
0;1;10.78004;27;8.093771612038836e-5;3.975702461;SensMatVec
0;1;10.78004;25;7.087238191161305e-5;3.700627909;SensTMatVec
0;1;10.78004;27;9.200609929393977e-5;3.803345664;SensMatVec
0;1;10.78004;25;6.743545964127406e-5;3.540752849;SensTMatVec
0;1;10.78004;34;7.555867682640383e-7;4.724247949;getData
0;1;10.78004;23;9.748466982273385e-5;3.280135634;SensTMatVec
0;1;10.78004;27;8.514219371136278e-5;3.737074534;SensMatVec
0;1;10.78004;24;8.62506203702651e-5;3.45988436;SensTMatVec
0;1;10.78004;26;9.719217632664368e-5;3.497095851;SensMatVec
0;1;10.78004;24;7.553478644695133e-5;3.546227703;SensTMatVec
0;1;10.78004;26;9.919595322571695e-5;3.592877407;SensMatVec
0;1;10.78004;24;6.588489486603066e-5;3.631266565;SensTMatVec
0;1;10.78004;27;6.549226236529648e-5;3.810587173;SensMatVec
0;1;10.78004;24;8.960932609625161e-5;3.816550214;SensTMatVec
0;1;10.78004;26;9.684428368927911e-5;3.660965724;SensMatVec
0;1;10.78004;24;7.777404971420765e-5;3.513156731;SensTMatVec
0;1;10.78004;27;8.219169831136242e-5;3.932579935;SensMatVec
0;1;10.78004;24;8.058008825173602e-5;3.487519956;SensTMatVec
0;1;10.78004;27;6.654493336100131e-5;3.984764254;SensMatVec
0;1;10.78004;24;8.093017095234245e-5;3.402882282;SensTMatVec
0;1;10.78004;35;9.062708841156564e-7;5.025342933;getData
0;1;10.78004;24;9.471220982959494e-5;3.43727182;SensTMatVec
0;1;10.78004;28;9.497549035586417e-5;3.900624903;SensMatVec
0;1;10.78004;25;9.530019451631233e-5;4.01858923;SensTMatVec
0;1;10.78004;27;9.654113091528416e-5;3.793082944;SensMatVec
0;1;10.78004;25;7.299041317310184e-5;3.745456939;SensTMatVec
0;1;10.78004;28;7.92899591033347e-5;3.955412377;SensMatVec
0;1;10.78004;25;8.615004480816424e-5;3.900948304;SensTMatVec
0;1;10.78004;28;6.705671694362536e-5;3.902294451;SensMatVec
0;1;10.78004;25;8.093383075902238e-5;3.642332306;SensTMatVec
0;1;10.78004;28;8.129835623549297e-5;3.895513724;SensMatVec
0;1;10.78004;25;8.684555359650403e-5;3.629545298;SensTMatVec
0;1;10.78004;28;8.661534229759127e-5;3.938823603;SensMatVec
0;1;10.78004;25;9.368131577502936e-5;3.9017382;SensTMatVec
0;1;10.78004;27;9.131164551945403e-5;3.764603235;SensMatVec
0;1;10.78004;25;7.670786726521328e-5;3.606309262;SensTMatVec
0;1;10.78004;34;9.477055300521897e-7;5.294877441;getData
0;1;10.78004;24;8.039642125368118e-5;3.464181229;SensTMatVec
0;1;10.78004;28;8.471331966575235e-5;3.943173088;SensMatVec
0;1;10.78004;25;7.372221443802118e-5;3.397930598;SensTMatVec
0;1;10.78004;27;8.341846114490181e-5;4.864090283;SensMatVec
0;1;10.78004;24;9.606065577827394e-5;3.401515771;SensTMatVec
0;1;10.78004;27;8.483621786581352e-5;4.102667586;SensMatVec
0;1;10.78004;24;8.576023537898436e-5;3.433280037;SensTMatVec
0;1;10.78004;27;7.978430221555755e-5;3.877474472;SensMatVec
0;1;10.78004;24;9.042518649948761e-5;3.303649338;SensTMatVec
0;1;10.78004;27;7.731955702183768e-5;3.786149536;SensMatVec
0;1;10.78004;25;6.612593278987333e-5;3.46107653;SensTMatVec
0;1;10.78004;28;7.959966023918241e-5;4.050228973;SensMatVec
0;1;10.78004;25;6.839529669377953e-5;3.633699546;SensTMatVec
0;1;10.78004;27;9.070533269550651e-5;3.919071158;SensMatVec
0;1;10.78004;25;7.29652019799687e-5;3.865939373;SensTMatVec
0;1;10.78004;36;8.714387718100625e-7;5.038359755;getData
0;1;10.78004;25;8.593271195422858e-5;3.68421351;SensTMatVec
0;1;10.78004;29;8.954357326729223e-5;4.249273475;SensMatVec
0;1;10.78004;26;8.431461901636794e-5;3.584825487;SensTMatVec
0;1;10.78004;28;9.051065717358142e-5;3.971103312;SensMatVec
0;1;10.78004;25;9.192698053084314e-5;3.586325959;SensTMatVec
0;1;10.78004;28;9.830340422922745e-5;3.924098001;SensMatVec
0;1;10.78004;25;9.300355304731056e-5;3.3272781;SensTMatVec
0;1;10.78004;29;6.810146442148834e-5;4.272121055;SensMatVec
0;1;10.78004;26;7.02572287991643e-5;3.889848048;SensTMatVec
0;1;10.78004;28;9.511797543382272e-5;3.900117861;SensMatVec
0;1;10.78004;26;8.780798088992015e-5;3.527729458;SensTMatVec
0;1;10.78004;29;9.170079283649102e-5;3.977356711;SensMatVec
0;1;10.78004;26;8.054947829805315e-5;3.69770806;SensTMatVec
0;1;10.78004;28;8.3134975284338e-5;3.802487442;SensMatVec
0;1;10.78004;26;7.001614721957594e-5;3.446890047;SensTMatVec
0;1;10.78004;36;7.925371505734802e-7;5.069016051;getData
0;1;10.78004;25;8.336277096532285e-5;3.766679668;SensTMatVec
0;1;10.78004;29;9.733052866067737e-5;4.309210682;SensMatVec
0;1;10.78004;26;7.880014891270548e-5;3.79457056;SensTMatVec
0;1;10.78004;28;9.37524891924113e-5;3.873383678;SensMatVec
0;1;10.78004;26;6.794861110392958e-5;3.853712991;SensTMatVec
0;1;10.78004;28;9.113893611356616e-5;3.887403447;SensMatVec
0;1;10.78004;25;9.457182750338688e-5;3.66389224;SensTMatVec
0;1;10.78004;28;8.73462631716393e-5;3.87191995;SensMatVec
0;1;10.78004;25;9.036501433001831e-5;4.067211154;SensTMatVec
0;1;10.78004;28;8.814756438368931e-5;3.781080951;SensMatVec
0;1;10.78004;26;7.175995415309444e-5;3.834076676;SensTMatVec
0;1;10.78004;29;6.988392124185339e-5;3.954557632;SensMatVec
0;1;10.78004;25;9.949950617738068e-5;3.695977511;SensTMatVec
0;1;10.78004;29;9.332549961982295e-5;4.146337509;SensMatVec
0;1;10.78004;26;7.986362470546737e-5;4.712429094;SensTMatVec
0;1;10.78004;37;8.664704864713713e-7;5.166485725;getData
0;1;10.78004;26;7.371254469035193e-5;3.540459621;SensTMatVec
0;1;10.78004;29;9.844695887295529e-5;4.195248585;SensMatVec
0;1;10.78004;26;9.92593850241974e-5;3.802582945;SensTMatVec
0;1;10.78004;30;7.110292790457606e-5;4.389822513;SensMatVec
0;1;10.78004;27;7.229972106870264e-5;3.937811206;SensTMatVec
0;1;10.78004;29;9.862959268502891e-5;4.11419068;SensMatVec
0;1;10.78004;26;9.551484981784597e-5;3.90483158;SensTMatVec
