Cycle;FreqIndex;Omega;Iterations;Error;Time;FromFunction
0;1;10.78004;22;7.093187014106661e-5;1.56610694;SensTMatVec
0;1;10.78004;32;9.142872841039207e-7;2.351148165;getData
0;1;10.78004;22;8.942694694269449e-5;1.687821984;SensTMatVec
0;1;10.78004;26;8.248438098235056e-5;1.830896337;SensMatVec
0;1;10.78004;23;8.194616384571418e-5;1.658166211;SensTMatVec
0;1;10.78004;26;6.591867713723332e-5;1.832163916;SensMatVec
0;1;10.78004;22;9.971858526114374e-5;1.66290439;SensTMatVec
0;1;10.78004;26;7.274973904713988e-5;1.923811654;SensMatVec
0;1;10.78004;23;7.533421012340114e-5;1.765849762;SensTMatVec
0;1;10.78004;26;6.59568322589621e-5;1.913506983;SensMatVec
0;1;10.78004;23;7.724812894593924e-5;1.768713625;SensTMatVec
0;1;10.78004;25;7.943165837787092e-5;1.782478507;SensMatVec
0;1;10.78004;23;7.313270907616243e-5;1.669029491;SensTMatVec
0;1;10.78004;25;8.753169095143676e-5;1.840252209;SensMatVec
0;1;10.78004;22;9.619379125069827e-5;1.697102354;SensTMatVec
0;1;10.78004;26;8.786402031546459e-5;1.865737308;SensMatVec
0;1;10.78004;23;7.555710180895403e-5;1.67752129;SensTMatVec
0;1;10.78004;32;8.366415613636491e-7;2.294456694;getData
0;1;10.78004;22;8.855019405018538e-5;1.569099535;SensTMatVec
0;1;10.78004;26;7.313831883948296e-5;1.91511012;SensMatVec
0;1;10.78004;23;7.196063961600885e-5;1.78524616;SensTMatVec
0;1;10.78004;25;8.175476250471547e-5;1.793555087;SensMatVec
0;1;10.78004;23;7.622062548762187e-5;1.831682232;SensTMatVec
0;1;10.78004;25;9.160702029475942e-5;1.806613665;SensMatVec
0;1;10.78004;22;8.637954306323081e-5;1.628951745;SensTMatVec
0;1;10.78004;25;9.932164539350197e-5;1.789370296;SensMatVec
0;1;10.78004;22;9.331678302260116e-5;1.714678326;SensTMatVec
0;1;10.78004;25;8.39612985146232e-5;1.836981944;SensMatVec
0;1;10.78004;22;9.486796625424176e-5;1.665002385;SensTMatVec
0;1;10.78004;26;7.718840788584203e-5;1.878193095;SensMatVec
0;1;10.78004;23;7.609539170516655e-5;1.820823121;SensTMatVec
0;1;10.78004;25;7.915590686025098e-5;1.90461971;SensMatVec
0;1;10.78004;22;9.884682367555797e-5;1.635784885;SensTMatVec
0;1;10.78004;34;7.356550781878468e-7;2.883673116;getData
0;1;10.78004;24;6.815691449446604e-5;2.010248477;SensTMatVec
0;1;10.78004;27;9.466228220844641e-5;1.989075547;SensMatVec
0;1;10.78004;24;8.11529898783192e-5;1.811399011;SensTMatVec
0;1;10.78004;27;7.464793452527374e-5;1.99077736;SensMatVec
0;1;10.78004;24;7.68919926485978e-5;1.775543076;SensTMatVec
0;1;10.78004;27;7.990414451342076e-5;1.982918828;SensMatVec
0;1;10.78004;24;7.491314318031073e-5;1.770705421;SensTMatVec
0;1;10.78004;27;7.904704398242757e-5;1.983299402;SensMatVec
0;1;10.78004;24;7.514277967857197e-5;1.781425171;SensTMatVec
0;1;10.78004;27;7.363199256360531e-5;2.002175533;SensMatVec
0;1;10.78004;24;8.210739906644449e-5;1.741667727;SensTMatVec
0;1;10.78004;27;7.869411638239399e-5;1.91922558;SensMatVec
0;1;10.78004;24;7.772244134685025e-5;1.799881725;SensTMatVec
0;1;10.78004;26;9.148613025899976e-5;1.926611357;SensMatVec
0;1;10.78004;24;7.552932220278308e-5;1.789062829;SensTMatVec
0;1;10.78004;33;7.939114539112779e-7;2.545776713;getData
0;1;10.78004;23;8.421164966421202e-5;1.713688951;SensTMatVec
0;1;10.78004;26;9.99757248791866e-5;1.854072636;SensMatVec
0;1;10.78004;24;6.311693869065493e-5;1.779797608;SensTMatVec
0;1;10.78004;26;8.223517215810716e-5;1.913543251;SensMatVec
0;1;10.78004;23;8.448376320302486e-5;1.761491616;SensTMatVec
0;1;10.78004;26;8.22618676465936e-5;1.849507863;SensMatVec
0;1;10.78004;23;8.327183604706079e-5;1.778014753;SensTMatVec
0;1;10.78004;26;9.150717232841998e-5;1.846724682;SensMatVec
0;1;10.78004;23;9.501467866357416e-5;1.792398657;SensTMatVec
0;1;10.78004;26;7.92956561781466e-5;1.846574409;SensMatVec
0;1;10.78004;23;8.837170025799423e-5;1.793377253;SensTMatVec
0;1;10.78004;27;7.324700709432364e-5;1.936266479;SensMatVec
0;1;10.78004;24;6.484280311269686e-5;1.760730168;SensTMatVec
0;1;10.78004;26;8.364272798644379e-5;1.850641699;SensMatVec
0;1;10.78004;23;8.353494922630489e-5;1.882281845;SensTMatVec
0;1;10.78004;34;7.980741543178738e-7;2.471665111;getData
0;1;10.78004;24;7.239058322738856e-5;1.73333215;SensTMatVec
0;1;10.78004;27;9.300551755586639e-5;2.189146495;SensMatVec
0;1;10.78004;24;8.75990153872408e-5;1.852311001;SensTMatVec
0;1;10.78004;27;7.327066850848496e-5;1.977769769;SensMatVec
0;1;10.78004;24;7.964050746522844e-5;1.959426277;SensTMatVec
0;1;10.78004;27;8.274678839370608e-5;2.25747646;SensMatVec
0;1;10.78004;24;7.350720261456445e-5;1.760626052;SensTMatVec
0;1;10.78004;27;7.677871326450258e-5;1.986778738;SensMatVec
0;1;10.78004;24;8.015286584850401e-5;1.765421319;SensTMatVec
0;1;10.78004;27;7.647797610843554e-5;2.024141941;SensMatVec
0;1;10.78004;24;8.700340549694374e-5;1.811573639;SensTMatVec
0;1;10.78004;27;9.09445880097337e-5;2.071352837;SensMatVec
0;1;10.78004;24;8.838383655529469e-5;1.784553861;SensTMatVec
0;1;10.78004;27;6.846647738711908e-5;2.027108897;SensMatVec
0;1;10.78004;24;7.184347487054765e-5;1.773403863;SensTMatVec
0;1;10.78004;34;6.930289373485721e-7;2.545554866;getData
0;1;10.78004;24;6.858998676761985e-5;1.785136794;SensTMatVec
0;1;10.78004;27;8.938302198657766e-5;1.986708547;SensMatVec
0;1;10.78004;24;8.151878864737228e-5;1.880520371;SensTMatVec
0;1;10.78004;27;6.759173993486911e-5;2.005418587;SensMatVec
0;1;10.78004;24;6.457739800680429e-5;1.766589991;SensTMatVec
0;1;10.78004;27;7.207903399830684e-5;2.10314614;SensMatVec
0;1;10.78004;24;7.528414425905794e-5;1.790478255;SensTMatVec
0;1;10.78004;27;7.117447967175394e-5;1.986301232;SensMatVec
0;1;10.78004;24;7.747783820377663e-5;2.016303486;SensTMatVec
0;1;10.78004;27;7.05353741068393e-5;2.017489882;SensMatVec
0;1;10.78004;24;7.297049887711182e-5;1.842048088;SensTMatVec
0;1;10.78004;27;8.91329109435901e-5;2.019691542;SensMatVec
0;1;10.78004;24;8.001190144568682e-5;1.837863187;SensTMatVec
0;1;10.78004;27;8.30099597806111e-5;1.994324995;SensMatVec
0;1;10.78004;24;7.34343848307617e-5;1.897617925;SensTMatVec
0;1;10.78004;35;7.033405040601792e-7;2.636273903;getData
0;1;10.78004;24;8.679761231178418e-5;1.749897456;SensTMatVec
0;1;10.78004;28;7.59805625420995e-5;2.102121047;SensMatVec
0;1;10.78004;25;7.556456694146618e-5;1.96031897;SensTMatVec
0;1;10.78004;27;9.043097088579088e-5;2.224742351;SensMatVec
0;1;10.78004;24;9.604023944120854e-5;1.954649465;SensTMatVec
0;1;10.78004;27;9.49927416513674e-5;2.237029452;SensMatVec
0;1;10.78004;24;8.5999614384491e-5;1.795896138;SensTMatVec
0;1;10.78004;27;8.604684990132228e-5;2.005117682;SensMatVec
0;1;10.78004;25;7.147101132431999e-5;1.891813687;SensTMatVec
0;1;10.78004;28;6.656385085079819e-5;2.097043202;SensMatVec
0;1;10.78004;24;9.975543071050197e-5;1.899913743;SensTMatVec
0;1;10.78004;28;6.818507972639054e-5;2.119157277;SensMatVec
0;1;10.78004;25;7.412289414787665e-5;1.864996819;SensTMatVec
0;1;10.78004;27;7.439535693265498e-5;2.002842494;SensMatVec
0;1;10.78004;24;8.657762373331934e-5;1.7790577;SensTMatVec
0;1;10.78004;34;8.995660891741863e-7;2.771533636;getData
0;1;10.78004;24;8.407955465372652e-5;1.783386801;SensTMatVec
0;1;10.78004;28;7.329093932639807e-5;2.002734151;SensMatVec
0;1;10.78004;25;6.956783181522042e-5;1.882795449;SensTMatVec
0;1;10.78004;27;8.451159374089912e-5;1.97355984;SensMatVec
0;1;10.78004;24;7.792835094733164e-5;1.840522677;SensTMatVec
