Cycle;FreqIndex;Omega;Iterations;Error;Time;FromFunction
0;1;10.78004;23;6.947023939574137e-5;1.600499187;SensTMatVec
0;1;10.78004;25;8.838980284053832e-5;1.761659274;SensMatVec
0;1;10.78004;22;8.629431977169588e-5;1.517371178;SensTMatVec
0;1;10.78004;26;6.785969890188426e-5;1.836146655;SensMatVec
0;1;10.78004;23;7.794003613526002e-5;1.599731489;SensTMatVec
0;1;10.78004;50;7.767472887110216e-9;3.578663193;getData
0;1;10.78004;23;8.995842654258013e-5;1.614595634;SensTMatVec
0;1;10.78004;27;6.903923349454999e-5;2.109413478;SensMatVec
0;1;10.78004;23;9.243500971933827e-5;1.579450767;SensTMatVec
0;1;10.78004;27;7.991558231879026e-5;1.882463334;SensMatVec
0;1;10.78004;23;9.992646664613858e-5;1.636762845;SensTMatVec
0;1;10.78004;26;9.439256245968863e-5;1.743818564;SensMatVec
0;1;10.78004;24;7.103267853381112e-5;1.652977086;SensTMatVec
0;1;10.78004;26;8.37918123579584e-5;1.759713834;SensMatVec
0;1;10.78004;24;6.768132152501494e-5;1.761216959;SensTMatVec
0;1;10.78004;26;8.269862155430019e-5;1.925428491;SensMatVec
0;1;10.78004;24;7.046050450298935e-5;1.730997622;SensTMatVec
0;1;10.78004;27;7.424597424687818e-5;2.005817565;SensMatVec
0;1;10.78004;24;7.493565499316901e-5;1.727320186;SensTMatVec
0;1;10.78004;26;9.574433352099732e-5;1.898894294;SensMatVec
0;1;10.78004;23;8.77483471413143e-5;1.732273478;SensTMatVec
0;1;10.78004;50;7.869641827085161e-9;3.570599565;getData
0;1;10.78004;23;8.734311268199235e-5;1.560332217;SensTMatVec
0;1;10.78004;27;7.627136801602319e-5;1.799065616;SensMatVec
0;1;10.78004;24;7.16937574907206e-5;1.705669089;SensTMatVec
0;1;10.78004;26;8.61383305164054e-5;1.771496518;SensMatVec
0;1;10.78004;23;9.937228605849668e-5;1.704144073;SensTMatVec
0;1;10.78004;27;7.600472599733621e-5;1.846589512;SensMatVec
0;1;10.78004;24;7.139928493415937e-5;1.747981506;SensTMatVec
0;1;10.78004;26;8.750398410484195e-5;2.01223574;SensMatVec
0;1;10.78004;24;7.510648720199242e-5;1.793179694;SensTMatVec
0;1;10.78004;26;8.432107279077172e-5;2.304807194;SensMatVec
0;1;10.78004;23;9.405338641954586e-5;1.587666472;SensTMatVec
0;1;10.78004;27;6.807714089518413e-5;1.98451755;SensMatVec
0;1;10.78004;24;6.398954428732395e-5;1.652908988;SensTMatVec
0;1;10.78004;27;7.249370537465438e-5;2.070831979;SensMatVec
0;1;10.78004;24;6.811635830672458e-5;1.688050559;SensTMatVec
