Cycle;FreqIndex;Omega;Iterations;Error;Time;FromFunction
0;1;10.78004;24;6.291414251791139e-7;10.932517095;getData
0;1;10.78004;17;6.874425889691338e-5;2.836564664;SensTMatVec
0;1;10.78004;19;6.0601749282795936e-5;3.347094273;SensMatVec
0;1;10.78004;17;6.605767703149468e-5;4.030484327;SensTMatVec
0;1;10.78004;19;6.0011137975379825e-5;2.90013499;SensMatVec
0;1;10.78004;17;6.37626217212528e-5;2.53905319;SensTMatVec
0;1;10.78004;19;6.188362749526277e-5;3.098365179;SensMatVec
0;1;10.78004;17;6.290780584095046e-5;2.642848821;SensTMatVec
0;1;10.78004;18;9.233926539309323e-5;2.885591211;SensMatVec
0;1;10.78004;17;6.152786954771727e-5;2.514008435;SensTMatVec
0;1;10.78004;18;9.753347694640979e-5;2.836507026;SensMatVec
0;1;10.78004;17;6.22518127784133e-5;2.412923979;SensTMatVec
0;1;10.78004;23;9.615065437174053e-7;3.573612922;getData
0;1;10.78004;17;5.8936449931934476e-5;2.45621425;SensTMatVec
0;1;10.78004;19;5.674874046235345e-5;2.956968039;SensMatVec
0;1;10.78004;16;9.309477900387719e-5;2.744641265;SensTMatVec
0;1;10.78004;19;5.899760071770288e-5;2.91364756;SensMatVec
0;1;10.78004;16;8.780766802374274e-5;2.615426306;SensTMatVec
0;1;10.78004;18;9.570789552526549e-5;3.14344046;SensMatVec
0;1;10.78004;17;6.211362779140472e-5;2.61021356;SensTMatVec
0;1;10.78004;18;8.229227387346327e-5;2.815998254;SensMatVec
0;1;10.78004;16;8.6508909589611e-5;2.645571112;SensTMatVec
0;1;10.78004;18;9.065081394510344e-5;2.977683153;SensMatVec
0;1;10.78004;17;5.580805009230971e-5;2.562418618;SensTMatVec
0;1;10.78004;18;8.620561857242137e-5;2.872980106;SensMatVec
0;1;10.78004;16;9.341229451820254e-5;2.565920598;SensTMatVec
0;1;10.78004;26;9.704381227493286e-7;3.917619587;getData
0;1;10.78004;17;9.751308243721724e-5;2.610419309;SensTMatVec
0;1;10.78004;22;6.742739788023755e-5;3.572699482;SensMatVec
0;1;10.78004;18;6.418571865651757e-5;2.682729208;SensTMatVec
0;1;10.78004;22;7.394213753286749e-5;3.274033831;SensMatVec
0;1;10.78004;18;5.988820703350939e-5;2.507781538;SensTMatVec
0;1;10.78004;20;7.421855843858793e-5;3.351612909;SensMatVec
0;1;10.78004;18;6.138641765573993e-5;2.742963273;SensTMatVec
0;1;10.78004;20;7.254812953760847e-5;3.37742286;SensMatVec
0;1;10.78004;18;6.499260052805766e-5;3.381188541;SensTMatVec
0;1;10.78004;22;8.836734195938334e-5;3.290071463;SensMatVec
0;1;10.78004;19;6.270766607485712e-5;2.801207727;SensTMatVec
0;1;10.78004;19;9.257333294954151e-5;2.938700887;SensMatVec
0;1;10.78004;17;9.472564852330834e-5;2.550964964;SensTMatVec
0;1;10.78004;22;7.369604281848297e-5;3.258560307;SensMatVec
0;1;10.78004;18;6.993982242420316e-5;2.498889416;SensTMatVec
0;1;10.78004;28;9.932344937624293e-7;4.533984029;getData
0;1;10.78004;19;7.981002272572368e-5;3.003744376;SensTMatVec
0;1;10.78004;24;7.020065822871402e-5;3.566227181;SensMatVec
0;1;10.78004;19;9.058242721948773e-5;2.941171377;SensTMatVec
0;1;10.78004;23;8.935220830608159e-5;3.626005079;SensMatVec
0;1;10.78004;19;8.764334779698402e-5;2.886367811;SensTMatVec
0;1;10.78004;22;7.950838335091248e-5;3.423086033;SensMatVec
0;1;10.78004;19;7.187639857875183e-5;3.203878855;SensTMatVec
0;1;10.78004;22;9.767981828190386e-5;3.448483847;SensMatVec
0;1;10.78004;19;8.41582877910696e-5;3.124761384;SensTMatVec
0;1;10.78004;23;7.898476906120777e-5;3.684796028;SensMatVec
0;1;10.78004;19;8.33303711260669e-5;2.890644101;SensTMatVec
0;1;10.78004;23;7.135095802368596e-5;3.827577067;SensMatVec
0;1;10.78004;19;7.67153687775135e-5;3.106710225;SensTMatVec
0;1;10.78004;23;9.894994582282379e-5;3.297328753;SensMatVec
0;1;10.78004;19;9.920732554746792e-5;2.963572322;SensTMatVec
0;1;10.78004;29;9.373940201840014e-7;4.808985733;getData
0;1;10.78004;20;8.984577289083973e-5;2.819597804;SensTMatVec
0;1;10.78004;25;6.710123125230893e-5;3.857329553;SensMatVec
0;1;10.78004;20;8.957332465797663e-5;3.032177157;SensTMatVec
0;1;10.78004;24;8.365635585505515e-5;3.476027228;SensMatVec
0;1;10.78004;22;6.296659557847306e-5;3.367264123;SensTMatVec
0;1;10.78004;24;9.555088763590902e-5;3.401502684;SensMatVec
0;1;10.78004;20;9.785877773538232e-5;2.997016038;SensTMatVec
0;1;10.78004;24;7.827991066733375e-5;3.763325616;SensMatVec
0;1;10.78004;22;6.984813808230683e-5;3.688526602;SensTMatVec
